dim,max_fes,algoritmo_a,algoritmo_b,better,equal,worse
10,5000,middleware,de,0,2,10
10,5000,middleware,pso,11,0,1
10,5000,pso,de,0,1,11
10,50000,middleware,de,7,3,2
10,50000,middleware,pso,11,1,0
10,50000,pso,de,1,1,10
10,500000,middleware,de,7,4,1
10,500000,middleware,pso,11,1,0
10,500000,pso,de,1,2,9
10,5000000,middleware,de,3,8,1
10,5000000,middleware,pso,11,1,0
10,5000000,pso,de,1,1,10
20,5000,middleware,de,1,1,10
20,5000,middleware,pso,7,3,2
20,5000,pso,de,2,1,9
20,50000,middleware,de,4,6,2
20,50000,middleware,pso,11,1,0
20,50000,pso,de,1,0,11
20,500000,middleware,de,7,3,2
20,500000,middleware,pso,11,1,0
20,500000,pso,de,0,1,11
20,5000000,middleware,de,3,7,2
20,5000000,middleware,pso,11,1,0
20,5000000,pso,de,0,1,11
